time;x;y;fx;fy
63;120;119;-100;-122
126;120;117;-90;-122
189;120;116;-90;-113
252;120;113;-90;-113
315;120;111;-90;-113
378;120;110;-90;-113
441;120;108;-83;-113
504;120;107;-83;-78
567;120;107;-83;-78
630;120;107;-83;-78
693;120;107;-83;-78
756;120;107;-77;-85
819;120;107;-77;-85
882;120;107;-77;-85
945;120;107;-77;-85
1008;120;107;-77;-85
1071;120;107;-77;-85
1134;120;106;-91;-102
1197;120;105;-91;-102
1260;120;102;-91;-102
1323;120;101;-91;-102
1386;120;99;-91;-102
1449;117;97;-103;-108
1512;116;95;-103;-108
1575;115;94;-103;-108
1638;113;93;-103;-108
1701;112;91;-103;-108
1764;109;89;-104;-109
1827;108;87;-104;-109
1890;107;86;-104;-109
1953;105;85;-104;-109
2016;103;82;-96;-121
2079;103;81;-96;-121
2142;103;79;-96;-121
2205;103;78;-96;-121
2268;103;75;-96;-121
2331;103;73;-97;-196
2394;103;70;-97;-196
2457;103;67;-97;-196
2520;103;62;-97;-196
2583;103;59;-97;-196
2646;103;56;-108;-222
2709;102;53;-108;-222
2772;99;46;-108;-222
2835;98;43;-108;-222
2898;97;40;-108;-222
2961;95;36;-115;-245
3024;93;29;-115;-245
3087;91;26;-115;-245
3150;90;22;-115;-245
3213;88;18;-115;-245
3276;87;10;-99;-260
3339;87;5;-99;-260
3402;87;0;-99;-260
3465;87;-3;-99;-260
3528;87;-13;-99;-260
3591;87;-18;-71;-278
3654;87;-23;-71;-278
3717;87;-27;-71;-278
3780;87;-37;-71;-278
3843;87;-42;-71;-278
3906;87;-46;-33;-244
3969;87;-49;-33;-244
4032;87;-56;-33;-244
4095;87;-60;-33;-244
4158;87;-64;-33;-244
4221;87;-67;0;-198
4284;87;-72;0;-198
4347;87;-75;0;-198
4410;87;-78;0;-198
4473;87;-80;0;-198
4536;87;-86;0;-178
4599;87;-88;0;-178
4662;87;-91;0;-178
4725;87;-93;0;-178
4788;87;-98;0;-159
4851;87;-100;0;-159
4914;87;-102;0;-159
4977;87;-104;0;-159
5040;87;-109;0;-159
5103;87;-111;0;-135
5166;87;-112;0;-135
5229;87;-114;0;-135
5292;87;-118;0;-135
5355;87;-119;0;-135
5418;87;-121;0;-135
5481;87;-121;0;-34
5544;87;-121;0;49
5607;87;-121;0;49
5670;87;-121;0;49
5733;87;-121;0;49
5796;87;-121;0;49
5859;87;-119;0;205
5922;87;-115;0;205
5985;87;-112;0;205
6048;87;-106;0;205
6111;87;-102;0;205
6174;87;-101;0;63
6237;87;-101;0;63
6300;87;-101;0;63
6363;87;-101;-90;63
6426;87;-102;-90;-119
6489;87;-103;-90;-119
6552;87;-106;-90;-119
6615;87;-107;-90;-119
6678;86;-109;-110;-119
6741;85;-110;-110;-126
6804;82;-114;-110;-126
6867;80;-115;-110;-126
6930;79;-117;-110;-126
6993;76;-120;-134;-73
7056;74;-120;-134;-73
7119;72;-120;-134;-73
7182;71;-120;-134;-73
7245;69;-120;-134;-73
7308;63;-120;-605;0
7371;59;-120;-605;382
7434;55;-115;-605;382
7497;45;-106;-605;382
7560;40;-101;-605;382
7623;36;-96;-576;382
7686;31;-92;-576;382
7749;27;-88;-576;209
7812;20;-81;-576;209
7875;17;-78;-576;209
7938;13;-75;-591;209
8001;10;-71;-591;209
8064;2;-71;-591;0
8127;-1;-71;-591;0
8190;-5;-71;-591;0
8253;-8;-71;-564;0
8316;-15;-76;-564;-213
8379;-19;-79;-564;-213
8442;-22;-83;-564;-213
8505;-26;-86;-564;-213
8568;-33;-92;-566;-142
8631;-37;-94;-566;-142
8694;-40;-96;-566;-142
8757;-47;-99;-566;-142
8820;-51;-101;-507;-142
8883;-55;-102;-507;-61
8946;-58;-102;-507;-61
9009;-62;-102;-507;-61
9072;-70;-102;-507;-61
9135;-74;-102;-409;-61
9198;-77;-102;-409;-36
9261;-81;-102;-409;-36
9324;-89;-102;-409;-36
9387;-93;-102;-409;-36
9450;-97;-102;-316;-36
9513;-100;-102;-316;-50
9576;-108;-102;-316;-50
9639;-112;-102;-316;-50
9702;-116;-102;-316;-50
9765;-120;-102;-316;-50
9828;-127;-102;-257;-52
9891;-131;-102;-257;-52
9954;-135;-102;-257;-52
10017;-139;-102;-257;-52
10080;-143;-102;-52;-52
10143;-143;-102;-52;0
10206;-143;-102;-52;0
10269;-143;-102;-52;0
10332;-143;-102;-52;0
10395;-143;-102;-55;0
10458;-143;-102;-55;0
10521;-143;-102;-55;0
10584;-143;-102;-55;0
10647;-143;-102;-55;0
10710;-143;-102;-55;0
10773;-143;-102;-49;0
10836;-143;-97;-49;667
10899;-143;-93;-49;667
10962;-143;-90;-49;667
11025;-143;-86;-49;667
11088;-143;-79;-55;724
11151;-143;-75;-55;724
11214;-143;-72;-55;724
11277;-143;-68;-55;724
11340;-143;-61;-55;724
11403;-143;-57;-55;681
11466;-143;-53;-55;681
11529;-143;-50;-55;681
11592;-143;-43;-55;681
11655;-143;-39;-63;681
11718;-143;-35;-63;666
11781;-143;-32;-63;666
11844;-143;-24;-63;666
11907;-143;-21;-63;666
11970;-143;-17;-70;666
12033;-143;-13;-70;666
12096;-143;-6;-70;677
12159;-143;-3;-70;677
12222;-143;0;-70;677
12285;-143;7;-68;677
12348;-143;11;-68;683
12411;-143;15;-68;683
12474;-143;22;-68;683
12537;-143;25;-68;683
12600;-143;29;-56;683
12663;-143;33;-56;671
12726;-143;36;-56;671
12789;-143;44;-56;671
12852;-143;47;-56;671
12915;-143;51;0;671
12978;-143;55;0;605
13041;-143;62;0;605
13104;-143;65;0;605
13167;-143;69;0;605
13230;-143;73;0;605
13293;-143;80;0;357
13356;-143;84;0;357
13419;-143;87;0;357
13482;-143;91;0;357
13545;-143;98;0;0
13608;-143;98;0;0
13671;-143;98;0;0
13734;-143;98;0;0
13797;-143;98;0;0
13860;-143;98;0;-53
13923;-143;98;0;-53
13986;-143;98;0;-53
14049;-143;98;0;-53
14112;-143;98;0;-53
14175;-143;98;0;-53
14238;-143;96;0;-104
