"x;y"
"120;13"
"120;128"
"120;126"
"120;124"
"120;12"
"120;118"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;117"
"120;116"
"120;114"
"120;113"
"119;109"
"117;108"
"116;107"
"114;107"
"111;107"
"110;107"
"110;107"
"110;107"
"110;107"
"110;107"
"110;107"
"110;107"
"110;105"
"110;103"
"110;101"
"110;1"
"107;96"
"105;96"
"103;96"
"101;96"
"100;96"
"96;96"
"94;96"
"93;96"
"89;96"
"89;96"
"89;96"
"89;94"
"89;89"
"89;87"
"88;84"
"86;82"
"83;81"
"82;81"
"80;81"
"79;81"
"76;8"
"74;78"
"73;77"
"71;75"
"71;71"
"71;7"
"71;68"
"71;66"
"70;61"
"69;59"
"67;58"
"66;58"
"64;58"
"61;58"
"59;58"
"57;58"
"53;53"
"51;5"
"49;48"
"47;45"
"44;41"
"42;39"
"41;38"
"39;36"
"35;32"
"34;31"
"32;29"
"28;26"
"26;25"
"24;23"
"22;21"
"18;17"
"16;15"
"14;13"
"12;11"
"8;6"
"6;4"
"4;2"
2
"0;-1"
-6
-10
-14
-20
-24
-28
-32
-35
-43
-48
-51
-59
-62
-66
-70
-77
-80
-84
-87
-94
-98
-102
-106
-112
-116
-119
-122
-130
-132
-136
-143
-146
-150
-153
-154
-158
-159
-161
-165
-166
-168
-170
-173
-173
-179
-182
-184
-189
-191
-193
-198
-200
-203
-203
-206
-206
-211
-213
-215
-215
-215
-215
-216
-216
-220
-221
-223
-227
-231
-234
-243
-247
-250
-251
