x;y
-143;130
-143;130
-143;129
-143;126
-143;124
-143;122
-143;120
-143;119
-143;121
-143;123
-143;127
-143;129
-143;130
-143;130
-143;130
-143;130
-143;130
-143;130
-143;130
-143;130
-143;130
-143;130
-143;128
-143;126
-143;124
-143;120
-143;118
-143;116
-143;112
-142;110
-141;108
-140;105
-138;104
-135;107
-133;110
-128;116
-128;116
-122;121
-120;121
-114;121
-114;121
-108;121
-104;121
-98;121
-94;121
-91;121
-88;121
-81;121
-81;121
-75;121
-72;121
-65;121
-62;121
-59;121
-55;121
-52;121
-45;121
-42;121
-39;121
-36;121
-29;121
-26;121
-22;121
-19;121
-10;121
-6;121
-1;121
3;121
12;121
16;121
19;121
27;121
30;121
34;121
38;121
45;121
45;121
52;121
56;121
60;121
67;121
71;118
75;116
84;112
88;110
92;108
96;106
105;101
105;101
114;97
119;94
127;91
131;91
135;91
138;91
142;91
149;91
153;91
155;91
155;91
155;91
155;90
155;89
155;85
155;83
155;82
155;80
151;76
150;75
148;73
146;71
143;68
141;66
139;64
137;62
134;59
132;57
130;56
129;54
125;50
124;49
122;47
119;42
