x;y
120;-120
120;-119
120;-116
120;-114
120;-112
120;-111
120;-107
120;-105
120;-102
120;-100
120;-96
120;-94
120;-91
120;-89
120;-84
120;-81
120;-79
120;-77
120;-73
120;-71
120;-69
120;-67
120;-63
120;-61
120;-59
120;-57
120;-52
120;-49
120;-47
120;-44
120;-39
120;-37
120;-34
120;-32
120;-27
120;-25
120;-23
120;-20
120;-16
120;-14
120;-12
120;-10
120;-5
120;-2
120;0
120;2
120;7
120;9
120;12
120;14
120;19
120;20
120;22
120;24
120;27
120;29
120;31
120;33
120;37
120;39
120;41
120;43
120;47
120;49
120;51
120;53
120;57
120;59
120;61
120;63
120;67
120;69
120;72
120;74
120;78
120;80
120;82
120;84
120;88
120;90
120;92
120;94
120;97
120;99
120;100
120;102
120;105
120;106
120;108
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;110
120;111
120;113
120;116
120;121
120;123
120;125
