time;x;y;fx;fy
63;-120;120;0;0
126;-120;120;0;0
189;-120;120;0;0
252;-120;120;0;0
315;-120;120;0;0
378;-120;120;0;0
441;-120;120;0;0
504;-120;120;0;0
567;-120;120;0;0
630;-120;120;0;0
693;-120;120;0;0
756;-120;120;0;0
819;-120;120;0;0
882;-120;120;0;0
945;-120;120;0;0
1008;-120;120;0;0
1071;-120;120;0;0
1134;-120;120;0;0
1197;-120;120;0;42
1260;-120;120;0;42
1323;-120;120;0;42
1386;-120;120;0;42
1449;-120;120;0;42
1512;-119;120;0;148
1575;-115;120;0;148
1638;-113;120;0;148
1701;-111;120;0;148
1764;-109;120;0;148
1827;-104;120;0;214
1890;-100;120;0;214
1953;-97;120;0;214
2016;-94;120;0;214
2079;-91;120;0;214
2142;-85;120;0;132
2205;-84;120;0;132
2268;-82;120;0;132
2331;-80;120;0;132
2394;-77;120;0;132
2457;-76;120;0;89
2520;-76;120;0;89
2583;-76;120;0;89
2646;-76;120;0;89
2709;-76;120;0;89
2772;-75;120;0;147
2835;-73;120;0;147
2898;-69;120;0;147
2961;-67;120;0;147
3024;-65;120;0;147
3087;-62;120;0;298
3150;-55;120;0;298
3213;-51;120;0;298
3276;-47;120;0;298
3339;-44;120;0;298
3402;-35;120;0;243
3465;-30;120;0;243
3528;-26;120;0;243
3591;-21;120;0;243
3654;-13;120;0;106
3717;-13;120;0;106
3780;-13;120;0;106
3843;-13;120;0;106
3906;-13;120;0;106
3969;-13;120;0;155
4032;-11;120;0;155
4095;-9;120;0;155
4158;-4;120;0;155
4221;-2;120;0;155
4284;0;120;0;155
4347;3;120;0;347
4410;10;120;0;347
4473;14;120;0;347
4536;17;120;0;347
4599;21;120;0;347
4662;30;120;0;253
4725;35;120;0;253
4788;40;120;0;253
4851;49;120;0;253
4914;51;120;0;92
4977;51;120;0;92
5040;51;120;0;92
5103;51;120;0;92
5166;51;120;0;92
5229;51;120;0;104
5292;51;120;0;104
5355;51;120;0;104
5418;51;120;0;104
5481;51;120;0;104
5544;52;120;0;326
5607;56;120;0;326
5670;63;120;0;326
5733;67;120;0;326
5796;71;120;0;326
5859;79;120;0;251
5922;84;120;0;251
5985;89;120;0;251
6048;93;120;0;251
6111;98;120;0;251
6174;103;120;0;0
6237;103;120;0;0
6300;103;120;0;0
6363;103;120;0;0
6426;103;120;0;-43
6489;103;120;0;-43
6552;103;120;0;-43
6615;103;120;0;-43
6678;103;120;0;-43
6741;103;120;0;-43
6804;103;120;0;0
6867;103;120;0;0
6930;103;120;0;0
6993;103;120;0;0
7056;103;120;0;0
7119;103;120;0;103
7182;103;120;0;103
7245;103;120;0;103
7308;103;120;0;103
7371;103;120;0;103
7434;105;120;0;124
7497;107;120;0;124
7560;109;120;0;124
7623;110;120;0;124
7686;113;120;0;0
7749;113;120;0;0
7812;113;120;0;0
7875;113;120;0;0
7938;113;120;0;0
8001;113;120;0;-48
8064;113;120;0;-48
8127;113;120;0;-48
8190;113;120;0;-48
8253;113;120;0;-48
8316;113;120;0;0
8379;113;120;0;0
8442;113;120;0;0
8505;113;120;0;0
8568;113;120;0;0
8631;113;120;0;0
8694;113;120;0;0
8757;113;120;0;0
8820;113;120;-54;0
8883;113;120;-54;0
8946;113;120;-54;-49
9009;113;120;-54;-49
9072;113;120;-54;-49
9135;113;119;-116;-49
9198;113;115;-116;-49
9261;113;114;-116;-101
9324;113;112;-116;-101
9387;113;111;-116;-101
9450;113;106;-164;-101
9513;113;104;-164;-101
9576;112;102;-164;-127
9639;111;99;-164;-127
9702;107;94;-140;-127
9765;106;92;-140;-127
9828;104;90;-140;-127
9891;102;88;-140;-124
9954;99;84;-140;-124
10017;97;82;-36;-124
10080;95;82;-36;-124
10143;94;82;-36;-124
10206;92;82;-36;-53
10269;92;82;-36;-53
10332;92;82;0;-53
10395;92;82;0;-53
10458;92;82;0;-109
10521;92;82;0;-109
10584;92;82;0;-109
10647;92;82;-54;-109
10710;92;82;-54;-109
10773;92;82;-54;-181
10836;90;82;-54;-181
10899;85;82;-54;-181
10962;82;82;-84;-181
11025;80;82;-84;-181
11088;77;82;-84;-181
11151;75;82;-84;-137
11214;71;82;-84;-137
11277;69;82;-109;-137
11340;67;82;-109;-137
11403;65;82;-109;-137
11466;65;82;-109;-60
11529;65;82;-109;-60
11592;65;81;-199;-60
11655;65;78;-199;-60
11718;65;72;-199;-59
11781;65;69;-199;-59
11844;65;66;-199;-59
11907;65;63;-245;-59
11970;65;55;-245;-59
12033;65;52;-245;-73
12096;65;48;-245;-73
12159;65;44;-245;-73
12222;65;38;-195;-73
12285;65;35;-195;-73
12348;64;32;-195;-193
12411;58;25;-195;-193
12474;55;23;-70;-193
12537;52;23;-70;-193
12600;49;23;-70;-193
12663;46;23;-70;-151
12726;42;23;-70;-151
12789;40;23;-74;-151
12852;38;23;-74;-151
12915;36;23;-74;-151
12978;34;23;-74;-87
13041;34;23;-74;-87
13104;34;23;-74;-87
13167;34;20;-131;-87
13230;34;18;-131;-87
13293;34;16;-131;-86
13356;34;14;-131;-86
13419;34;13;-131;-86
13482;34;7;-194;-86
13545;34;4;-194;-86
13608;33;1;-194;-134
13671;31;0;-194;-134
13734;28;-6;-160;-134
13797;26;-8;-160;-134
13860;24;-11;-160;-134
13923;20;-16;-160;-173
13986;17;-18;-160;-173
14049;14;-19;-77;-173
14112;12;-19;-77;-173
14175;9;-19;-77;-173
14238;8;-19;-77;-109
14301;8;-19;-77;-109
14364;8;-19;-67;-109
14427;8;-19;-67;-109
14490;8;-19;-67;-133
14553;6;-19;-67;-133
14616;4;-19;-67;-133
14679;1;-21;-129;-133
14742;0;-23;-129;-133
14805;-2;-25;-129;-197
14868;-8;-28;-129;-197
14931;-11;-30;-163;-197
14994;-14;-32;-163;-197
15057;-17;-35;-163;-197
15120;-20;-37;-163;-141
15183;-24;-42;-163;-141
15246;-26;-44;-163;-141
15309;-28;-46;-138;-141
15372;-32;-50;-138;-141
15435;-34;-52;-138;-113
15498;-35;-53;-138;-113
15561;-37;-55;-138;-113
15624;-39;-59;-140;-113
15687;-41;-61;-140;-113
15750;-43;-63;-140;-133
15813;-46;-68;-140;-133
15876;-46;-68;-140;-133
15939;-50;-72;-157;-133
16002;-51;-74;-157;-133
16065;-53;-76;-157;-172
16128;-56;-78;-157;-172
16191;-61;-82;-128;-172
16254;-64;-83;-128;-172
16317;-66;-85;-128;-172
16380;-69;-87;-128;-180
16443;-74;-90;-128;-180
16506;-76;-92;-93;-180
16569;-79;-92;-93;-180
16632;-84;-92;-93;-157
16695;-86;-92;-93;-157
16758;-88;-92;-93;-157
16821;-90;-92;-89;-157
16884;-94;-92;-89;-157
16947;-96;-92;-89;-135
17010;-98;-92;-89;-135
17073;-100;-92;-89;-135
17136;-102;-92;-122;-135
17199;-105;-95;-122;-135
17262;-107;-97;-122;-135
17325;-109;-98;-122;-104
17388;-109;-102;-122;-104
17451;-109;-104;-122;-104
17514;-109;-107;-240;-104
17577;-109;-111;-240;-104
17640;-109;-115;-240;-104
17703;-109;-122;-240;-98
17766;-109;-126;-240;-98
17829;-109;-129;-155;-98
17892;-109;-131;-155;-98
17955;-109;-136;-155;-66
18018;-109;-138;-155;-66
18081;-109;-141;0;-66
18144;-109;-141;0;-66
18207;-109;-141;0;-66
18270;-109;-141;0;-107
18333;-109;-141;0;-107
18396;-109;-141;0;-107
18459;-109;-141;0;-107
18522;-109;-141;0;-107
18585;-110;-141;0;-122
18648;-113;-141;0;-122
18711;-115;-141;0;-122
18774;-117;-141;0;-122
18837;-118;-141;0;-122
18900;-119;-141;0;-96
18963;-119;-141;0;-96
19026;-119;-141;0;-96
19089;-119;-141;0;-96
19152;-119;-141;0;-39
19215;-119;-141;0;-39
19278;-119;-141;0;-39
19341;-119;-141;0;-39
19404;-119;-141;0;-39
19467;-119;-141;0;0
19530;-119;-141;0;0
19593;-119;-141;0;0
19656;-119;-141;0;0
19719;-119;-141;0;0
19782;-119;-141;0;0
19845;-119;-141;0;0
19908;-119;-141;0;0
19971;-119;-141;0;0
20034;-119;-141;0;0
20097;-119;-141;0;0
20160;-119;-141;0;0
20223;-119;-141;0;0
20286;-119;-141;0;0
20349;-119;-141;0;0
20412;-119;-141;0;0
20475;-119;-141;0;0
20538;-119;-141;0;0
20601;-119;-141;0;0
20664;-119;-141;0;0
20727;-119;-141;0;-28
20790;-119;-141;0;-28
20853;-119;-141;0;-28
20916;-119;-141;0;-28
20979;-119;-141;0;-28
21042;-119;-141;0;0
21105;-119;-141;0;0
21168;-119;-141;0;0
21231;-119;-141;0;0
21294;-119;-141;102;0
21357;-119;-141;102;0
21420;-119;-141;102;-45
21483;-119;-141;102;-45
21546;-119;-141;102;-45
21609;-119;-141;102;-45
21672;-119;-141;133;-45
21735;-119;-138;133;-43
21798;-119;-136;133;-43
21861;-119;-135;133;-43
21924;-119;-133;133;-43
21987;-119;-131;99;-43
22050;-119;-131;99;0
22113;-119;-131;99;0
22176;-119;-131;99;0
22239;-119;-131;99;0
22302;-119;-131;96;0
22365;-119;-131;96;0
22428;-119;-131;96;0
22491;-119;-131;96;0
22554;-119;-131;96;0
22617;-119;-129;194;0
22680;-119;-126;194;-33
22743;-119;-119;194;-33
22806;-119;-116;194;-33
22869;-119;-110;180;-33
22932;-119;-110;180;-33
22995;-119;-105;180;0
23058;-119;-102;180;0
23121;-119;-100;180;0
23184;-119;-97;180;0
23247;-119;-93;154;0
23310;-119;-90;154;0
23373;-119;-88;154;0
23436;-119;-84;154;0
23499;-119;-81;170;0
23562;-119;-79;170;0
23625;-119;-77;170;0
23688;-119;-72;170;0
23751;-119;-69;170;0
23814;-119;-67;203;0
23877;-119;-63;203;0
23940;-119;-60;203;0
24003;-119;-54;203;0
24066;-119;-50;203;0
24129;-119;-47;203;0
24192;-119;-40;241;0
24255;-119;-36;241;0
24318;-119;-32;241;0
24381;-119;-29;241;0
24444;-119;-22;206;0
24507;-119;-18;206;0
24570;-119;-15;206;0
24633;-119;-12;206;0
24696;-119;-5;206;0
24759;-119;-2;197;0
24822;-119;0;197;0
24885;-119;3;197;0
24948;-119;10;197;0
25011;-119;13;197;0
25074;-119;16;195;0
25137;-119;19;195;0
25200;-119;26;195;0
25263;-119;29;195;0
25326;-119;32;195;0
25389;-119;36;212;0
25452;-119;39;212;0
25515;-119;45;212;0
25578;-119;49;212;0
25641;-119;55;179;0
25704;-119;58;179;0
25767;-119;60;179;0
25830;-119;63;179;0
25893;-119;65;179;0
25956;-119;70;197;0
26019;-119;73;197;0
26082;-119;77;197;0
26145;-119;80;197;0
26208;-119;83;197;0
26271;-119;90;197;0
26334;-119;93;226;0
26397;-119;96;226;0
26460;-119;103;226;0
26523;-119;106;226;0
26586;-119;109;226;0
26649;-119;111;128;0
26712;-119;115;128;0
26775;-119;116;128;0
26838;-119;118;128;0
26901;-119;121;0;0
26964;-119;121;0;0
27027;-119;121;0;0
27090;-119;121;0;0
27153;-119;121;0;59
27216;-119;121;0;59
27279;-119;121;0;59
27342;-119;121;0;59
27405;-119;121;0;59
27468;-119;121;0;0
27531;-119;121;0;0
27594;-119;121;0;0
27657;-119;121;0;0
27720;-119;121;0;0
27783;-119;121;0;0
27846;-119;121;0;0
27909;-119;121;0;0
27972;-119;121;0;0
28035;-119;121;0;0
28098;-119;121;0;0
28161;-119;121;0;0
28224;-119;121;-51;0
28287;-119;121;-51;0
28350;-119;121;-51;0
28413;-119;121;-51;81
28476;-119;121;-51;81
28539;-119;121;-85;81
28602;-119;121;-85;81
28665;-118;121;-85;145
28728;-116;121;-85;145
28791;-114;121;-85;145
28854;-112;119;-143;145
28917;-110;117;-143;145
28980;-105;113;-143;173
29043;-103;111;-143;173
29106;-100;109;-143;173
29169;-98;106;-220;173
29232;-93;100;-220;173
29295;-92;96;-220;57
29358;-92;89;-220;57
29421;-92;89;-220;57
29484;-92;85;-303;57
29547;-92;78;-303;57
29610;-92;74;-303;96
29673;-92;70;-303;96
29736;-92;66;-303;96
29799;-92;58;-340;96
29862;-92;55;-340;96
29925;-92;51;-340;115
29988;-91;47;-340;115
30051;-88;39;-146;115
30114;-86;37;-146;115
30177;-85;35;-146;115
30240;-83;33;-146;90
30303;-83;29;-146;90
30366;-83;27;-68;90
30429;-83;27;-68;90
30492;-83;27;-68;90
30555;-83;27;-68;110
30618;-83;27;-68;110
30681;-83;27;-68;110
30744;-83;24;-111;110
30807;-83;22;-111;110
30870;-83;21;-111;103
30933;-83;19;-111;103
30996;-83;18;-111;103
31059;-83;18;-81;103
31122;-83;18;-81;103
31185;-83;18;-81;112
31248;-80;18;-81;112
31311;-78;18;-75;112
31374;-77;18;-75;112
31437;-74;18;-75;101
31500;-74;18;-75;101
31563;-74;18;-75;101
31626;-74;18;-44;101
31689;-74;18;-44;101
31752;-74;18;-44;101
31815;-74;18;-44;96
31878;-74;18;-44;96
31941;-74;18;-52;96
32004;-74;18;-52;96
32067;-74;18;-52;109
32130;-74;18;-52;109
32193;-74;18;-52;109
32256;-74;18;-26;109
32319;-74;18;-26;109
32382;-74;18;-26;109
32445;-74;18;-26;0
32508;-74;18;0;0
32571;-74;18;0;0
32634;-74;18;0;0
32697;-74;18;0;0
32760;-74;18;0;0
32823;-74;18;0;0
32886;-74;18;0;0
32949;-74;18;0;0
33012;-74;18;0;0
33075;-74;18;0;0
33138;-74;18;0;0
33201;-74;18;0;0
33264;-74;18;0;0
33327;-74;18;0;0
33390;-74;18;0;0
33453;-74;18;0;0
33516;-74;18;0;0
33579;-74;18;0;0
33642;-74;18;0;0
33705;-74;18;0;70
33768;-74;18;-31;70
33831;-74;18;-31;70
33894;-74;18;-31;70
33957;-74;18;-31;70
34020;-74;18;-31;106
34083;-74;18;0;106
34146;-74;18;0;106
34209;-74;18;0;106
34272;-74;18;0;106
34335;-74;18;0;38
34398;-74;18;0;38
34461;-74;18;0;38
34524;-74;18;0;38
34587;-74;18;0;130
34650;-73;18;0;130
34713;-71;18;-47;130
34776;-67;18;-47;130
34839;-66;18;-47;130
34902;-64;18;-47;130
34965;-58;18;-47;205
35028;-58;18;-47;205
35091;-51;18;-68;205
35154;-48;18;-68;205
35217;-45;18;-68;205
35280;-39;18;-68;180
35343;-37;17;-131;180
35406;-34;15;-131;180
35469;-32;13;-131;180
35532;-29;11;-131;180
35595;-24;8;-131;182
35658;-19;1;-235;182
35721;-19;1;-235;182
35784;-17;-1;-235;182
35847;-12;-8;-235;196
35910;-9;-12;-235;196
35973;-5;-16;-255;196
36036;-2;-20;-255;196
36099;3;-30;-255;196
36162;5;-34;-255;141
36225;7;-39;-255;141
36288;9;-43;-181;141
36351;13;-48;-181;141
36414;15;-50;-181;141
36477;19;-55;-181;128
36540;21;-58;-123;128
36603;22;-59;-123;128
36666;24;-61;-123;128
36729;26;-63;-123;128
36792;29;-66;-123;133
36855;31;-68;-73;133
36918;32;-68;-73;133
36981;34;-68;-73;133
37044;38;-68;-73;169
37107;40;-68;-73;169
37170;43;-68;-73;169
37233;45;-68;-43;169
37296;50;-68;-43;169
37359;53;-68;-43;169
37422;55;-68;-43;129
37485;56;-68;-43;129
37548;58;-68;-45;129
37611;61;-68;-45;129
37674;63;-68;-45;129
37737;64;-68;-45;79
37800;64;-68;-104;79
37863;64;-68;-104;79
37926;64;-68;-104;79
37989;64;-68;-104;79
38052;64;-68;-104;97
38115;64;-69;-198;97
38178;64;-72;-198;97
38241;64;-78;-198;97
38304;65;-81;-198;160
38367;67;-84;-198;160
38430;70;-88;-265;160
38493;72;-93;-265;160
38556;77;-102;-265;160
38619;78;-107;-265;92
38682;78;-111;-265;92
38745;78;-115;-219;92
38808;78;-123;-219;92
38871;78;-126;-219;92
